"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\SoundArchive\SoundArchive.cs", "C#", 36, 1, 8, 45
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\Timer.cs", "C#", 40, 4, 8, 52
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\GameUIManager.cs", "C#", 148, 5, 25, 178
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\MahjongTileGameObject.cs", "C#", 64, 3, 14, 81
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\PlayerHand.cs", "C#", 153, 35, 34, 222
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiCallInfo.cs", "C#", 26, 7, 7, 40
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiGameOver.cs", "C#", 24, 1, 6, 31
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiHoverShift.cs", "C#", 33, 0, 8, 41
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiManager.cs", "C#", 145, 44, 56, 245
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiRemainingTimeIndicator.cs", "C#", 28, 4, 4, 36
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiRoundInfo.cs", "C#", 23, 6, 11, 40
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiScoreDistanceInfo.cs", "C#", 91, 22, 29, 142
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiScoreInfo.cs", "C#", 22, 0, 6, 28
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiTransition.cs", "C#", 40, 8, 12, 60
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiWinInfo.cs", "C#", 69, 23, 14, 106
"c:\Users\user\Documents\_MSEX_Project\Project-Riichi-Nya\Assets\Scripts\UI-Kozeki\UiYakuPreset.cs", "C#", 27, 16, 8, 51
"Total", "-", 4463, 787, 1061, 6311
